Date,Open,High,Low,Close,Volume,Adj Close
2016-02-26,13.00,13.00,12.98,12.98,400,12.98
2016-02-25,12.992,13.00,12.992,13.00,1100,13.00
2016-02-24,12.91,13.00,12.91,13.00,5000,13.00
2016-02-23,12.92,13.05,12.92,13.05,10100,13.05
2016-02-22,12.957,13.10,12.957,13.09,3400,13.09
2016-02-19,13.00,13.00,12.92,12.92,2200,12.92
2016-02-18,12.92,13.00,12.92,13.00,1700,13.00
2016-02-17,13.00,13.00,12.96,13.00,5100,13.00
2016-02-16,12.926,12.96,12.90,12.90,10500,12.90
2016-02-12,12.90,12.90,12.90,12.90,1700,12.90
2016-02-11,12.90,12.90,12.90,12.90,000,12.90
2016-02-10,12.89,12.90,12.89,12.90,6300,12.90
2016-02-09,12.92,12.92,12.85,12.86,1100,12.86
2016-02-08,13.012,13.02,12.96,12.99,3800,12.99
2016-02-05,13.02,13.024,13.00,13.01,4500,13.01
2016-02-04,13.04,13.15,13.02,13.07,10500,13.07
2016-02-03,13.02,13.05,13.00,13.01,6600,13.01
2016-02-02,12.96,13.02,12.96,13.02,15700,13.02
2016-02-01,12.90,12.93,12.85,12.93,27700,12.93
2016-01-29,12.899,12.93,12.86,12.90,10500,12.90
2016-01-28,12.928,12.93,12.913,12.93,9500,12.93
2016-01-27,12.80,12.93,12.80,12.93,300,12.93
2016-01-26,12.82,12.82,12.82,12.82,200,12.82
2016-01-25,12.95,12.98,12.81,12.81,5900,12.81
2016-01-22,13.00,13.00,12.95,12.98,3500,12.98
2016-01-21,12.98,12.98,12.84,12.96,900,12.96
2016-01-20,12.98,12.98,12.98,12.98,100,12.98
2016-01-19,12.90,13.12,12.89,13.07,7300,13.07
2016-01-15,13.039,13.05,12.76,12.80,6000,12.80
2016-01-14,13.03,13.08,13.03,13.07,3800,13.07
2016-01-13,13.053,13.16,13.053,13.16,1000,13.16
2016-01-12,13.149,13.19,13.123,13.19,3000,13.19
2016-01-11,13.09,13.20,13.09,13.16,3900,13.16
2016-01-08,13.116,13.13,13.07,13.10,2100,13.10
2016-01-07,13.08,13.19,13.08,13.19,4700,13.19
2016-01-06,13.01,13.074,13.00,13.074,2500,13.074
2016-01-05,13.00,13.10,12.95,12.95,5300,12.95
2016-01-04,12.99,13.10,12.96,13.00,16500,13.00
2015-12-31,13.38,13.46,12.96,12.99,3300,12.99
2015-12-30,13.32,13.49,13.16,13.16,3100,13.16
2015-12-29,13.02,13.28,13.02,13.23,5200,13.23
2015-12-28,13.06,13.06,12.95,12.95,1500,12.95
2015-12-24,13.30,13.30,13.30,13.30,000,13.30
2015-12-23,13.30,13.30,13.30,13.30,200,13.30
2015-12-22,13.27,13.27,13.27,13.27,000,13.27
2015-12-21,13.27,13.27,13.27,13.27,000,13.27
2015-12-18,12.94,13.27,12.87,13.27,3200,13.27
2015-12-17,12.95,13.43,12.85,12.85,23400,12.85
2015-12-16,12.90,13.49,12.85,12.87,1300,12.87
2015-12-15,12.884,12.884,12.85,12.86,3000,12.86
2015-12-14,13.00,13.00,12.76,12.76,700,12.76
2015-12-11,12.76,12.82,12.76,12.82,900,12.82
2015-12-10,12.85,13.18,12.76,12.85,1800,12.85
2015-12-09,12.95,13.17,12.77,12.86,4700,12.86
2015-12-08,13.245,13.44,12.75,12.85,5900,12.85
2015-12-07,12.85,12.981,12.80,12.85,10700,12.85
2015-12-04,12.61,12.725,12.60,12.60,1100,12.60
2015-12-03,12.60,12.80,12.60,12.75,5100,12.75
2015-12-02,12.717,12.74,12.661,12.68,2100,12.68
2015-12-01,12.57,12.64,12.51,12.64,6400,12.64
2015-11-30,12.63,12.63,12.55,12.58,1700,12.58
2015-11-27,12.62,12.62,12.62,12.62,100,12.62
2015-11-25,12.38,12.54,12.36,12.46,9300,12.46
2015-11-24,12.51,12.51,12.43,12.43,6700,12.43
2015-11-23,12.45,12.57,12.45,12.57,5500,12.57
2015-11-20,12.455,12.53,12.38,12.51,2800,12.51
2015-11-19,12.48,12.60,12.47,12.51,11100,12.51
2015-11-18,12.38,12.43,12.36,12.37,3900,12.37
2015-11-17,12.453,12.49,12.38,12.45,2100,12.45
2015-11-16,12.38,12.38,12.36,12.36,2200,12.36
2015-11-13,12.47,12.47,12.46,12.46,200,12.46
2015-11-12,12.35,12.47,12.35,12.35,1600,12.35
2015-11-11,12.33,12.33,12.33,12.33,000,12.33
2015-11-10,12.33,12.33,12.33,12.33,000,12.33
2015-11-09,12.35,12.35,12.32,12.33,8800,12.33
2015-11-06,12.32,12.35,12.32,12.35,3900,12.35
2015-11-05,12.50,12.50,12.37,12.37,1800,12.37
2015-11-04,12.41,12.42,12.32,12.34,3800,12.34
2015-11-03,12.49,12.49,12.12,12.41,19100,12.41
2015-11-02,12.40,12.50,12.37,12.42,3400,12.42
2015-10-30,12.40,12.448,12.40,12.41,1500,12.41
2015-10-29,12.40,12.40,12.40,12.40,200,12.40
2015-10-28,12.28,12.48,12.28,12.355,2700,12.355
2015-10-27,12.26,12.416,12.25,12.40,1700,12.40
2015-10-26,12.40,12.45,12.26,12.265,15800,12.265
2015-10-23,12.51,12.51,12.43,12.45,3700,12.45
2015-10-22,12.51,12.51,12.46,12.46,1000,12.46
2015-10-21,12.50,12.52,12.50,12.51,400,12.51
2015-10-20,12.46,12.48,12.46,12.48,600,12.48
2015-10-19,12.56,12.63,12.56,12.61,1400,12.61
2015-10-16,12.57,12.747,12.47,12.49,800,12.49
2015-10-15,12.64,12.70,12.58,12.69,3300,12.69
2015-10-14,12.65,12.65,12.51,12.51,500,12.51
2015-10-13,12.48,12.605,12.46,12.46,500,12.46
2015-10-12,12.62,12.62,12.46,12.46,300,12.46
2015-10-09,12.57,12.57,12.57,12.57,000,12.57
2015-10-08,12.43,12.74,12.38,12.57,4800,12.57
2015-10-07,12.42,12.46,12.295,12.39,24900,12.39
2015-10-06,12.35,12.54,12.33,12.43,1800,12.43
2015-10-05,12.22,12.45,12.15,12.38,19300,12.38
2015-10-02,12.34,12.45,12.122,12.37,24400,12.37
2015-10-01,12.38,12.46,12.16,12.46,23400,12.46
2015-09-30,12.45,12.48,12.19,12.39,30400,12.39
2015-09-29,12.17,12.50,12.06,12.32,74800,12.32
2015-09-28,12.07,12.37,12.06,12.14,20700,12.14
2015-09-25,12.50,12.50,12.06,12.11,35000,12.11
2015-09-24,12.42,12.50,12.36,12.50,4100,12.50
2015-09-23,12.45,12.55,12.34,12.53,2700,12.53
2015-09-22,12.31,12.55,12.28,12.375,34700,12.375
2015-09-21,12.15,12.47,12.15,12.325,54300,12.325
2015-09-18,12.93,13.00,11.26,11.26,239400,11.26
2015-09-17,12.85,12.89,12.58,12.89,16000,12.89
2015-09-16,12.80,12.92,12.75,12.90,13400,12.90
2015-09-15,12.79,12.98,12.65,12.93,22900,12.93
2015-09-14,12.77,12.80,12.73,12.77,34200,12.77
2015-09-11,12.63,12.79,12.26,12.79,26900,12.79
2015-09-10,12.67,12.68,12.50,12.65,79300,12.65
2015-09-03,12.37,12.59,12.18,12.45,6800,12.45
2015-09-01,12.43,12.60,12.41,12.43,700,12.43
2015-08-31,12.41,12.60,12.41,12.52,6700,12.52
2015-08-19,12.49,12.69,12.49,12.66,15500,12.66
2015-07-21,12.90,12.90,12.80,12.85,48300,12.85
